server,cpu_mean,cpu_median,cpu_p25,cpu_p75,cpu_max,cpu_std,mem_mean,mem_median,mem_p25,mem_p75,mem_max,mem_std,uptime_ratio,samples_count,cpu_cv,mem_cv,cpu_peak_to_mean,mem_peak_to_mean,cpu_iqr,mem_iqr,cluster
gti-com-hp19.hci.bri.co.id,35.00705202312139,35.22,31.59,38.35,57.0,5.46916344764401,30.673815028901732,30.42,28.73,32.17,43.63,3.3515084091718403,1.0,173,0.15623033450608032,0.10926284865491805,1.6282433597194288,1.4223858349178473,6.760000000000002,3.4400000000000013,1
gti-com-hp20.hci.bri.co.id,34.038092485549136,33.62,28.21,39.75,56.11,8.207645638161363,31.9685549132948,32.26,28.61,34.68,53.17,5.346034902491103,1.0,173,0.24113118682093942,0.16722791871545753,1.6484472513793622,1.6631968552913268,11.54,6.07,1
gti-com-hp21.hci.bri.co.id,44.30635838150289,43.73,40.31,47.48,82.59,7.580320529893988,36.55630057803468,36.37,34.56,38.81,47.22,2.977032462238291,1.0,173,0.1710887738645349,0.08143691826483884,1.8640665362035227,1.2917061971082693,7.169999999999995,4.25,1
gti-com-hp22.hci.bri.co.id,51.79,51.36,46.54,56.38,100.0,9.467906868210962,44.772312138728324,44.18,41.82,47.42,66.89,5.177103816349328,1.0,173,0.18281341703438814,0.11563181727823035,1.9308746862328636,1.494003700160478,9.840000000000003,5.600000000000001,1
gti-com-hp23.hci.bri.co.id,37.21976878612717,38.27,33.55,39.91,64.75,4.933145601705334,20.385086705202312,20.38,19.3,21.27,31.76,1.6488595842232932,1.0,173,0.1325410060995342,0.08088558111467346,1.7396669058334964,1.5580017126880696,6.359999999999999,1.9699999999999989,1
gti-com-hp24.hci.bri.co.id,42.18312138728324,42.49,36.72,45.6,82.96,8.009906408030748,28.223179190751445,28.34,26.55,30.26,38.3,3.1106547499711295,1.0,173,0.18988415614131057,0.11021631294430753,1.9666633779502525,1.3570405991877295,8.880000000000003,3.710000000000001,1
gti-com-hp25.hci.bri.co.id,86.91601156069363,88.58,80.98,94.07,100.0,9.833969468708629,70.6078612716763,70.66,67.49,73.8,91.55,5.040307939022915,1.0,173,0.11314335865310096,0.07138451509853037,1.150535996813082,1.296597834166724,13.08999999999999,6.310000000000002,0
gti-com-hp26.hci.bri.co.id,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173,0.0,0.0,0.0,0.0,0.0,0.0,3
gti-com-hp27.hci.bri.co.id,89.66849710982659,93.03,82.52,96.97,100.0,9.50233496679698,76.71907514450866,77.71,73.21,79.73,100.0,4.827163602157571,1.0,173,0.10597183261762996,0.06291999210190016,1.1152188697611305,1.3034567975648716,14.450000000000003,6.52000000000001,0
gti-com-hp28.hci.bri.co.id,9.335260115606937,11.27,0.0,15.26,48.38,7.272402082808646,38.39797687861272,54.98,0.0,59.16,86.33,27.62683017108166,0.6647398843930635,173,0.7790251147528765,0.7194866088496846,5.1825015479876155,2.248295535801651,15.26,59.16,5
gti-com-hp29.hci.bri.co.id,44.524450867052025,44.46,40.2,47.91,77.26,6.929261291894758,57.87913294797688,58.52,55.11,60.58,72.21,4.170516928769418,1.0,173,0.15562822577161514,0.07205562205843644,1.7352263418294553,1.24759989174171,7.709999999999994,5.469999999999999,4
gti-com-hp30.hci.bri.co.id,46.72815028901734,47.74,42.3,50.27,97.27,6.517869983116937,60.41612716763006,61.32,57.84,62.57,83.98,3.900085199727016,1.0,173,0.1394848703148614,0.06455371078165725,2.0816146027261357,1.3900262055359793,7.970000000000006,4.729999999999997,0
gti-com-hp31.hci.bri.co.id,48.22,47.61,41.49,53.74,100.0,10.307859498550634,62.72445086705202,63.57,59.15,66.31,82.15,5.30327360114112,1.0,173,0.21376730606699781,0.08454874499231096,2.073828287017835,1.3096965994030227,12.25,7.160000000000004,0
gti-com-hp32.hci.bri.co.id,61.90832369942196,60.64,54.12,67.66,100.0,11.896713395536587,64.59895953757226,64.07,60.56,68.88,80.05,5.971121107734877,1.0,173,0.19216662129793163,0.09243370404846744,1.6152916768594996,1.2391840452699716,13.54,8.319999999999993,0
gti-com-hp33.hci.bri.co.id,31.40092485549133,32.12,28.8,33.47,50.95,4.244713847987543,63.594161849710986,64.77,59.54,65.87,90.03,3.7853919058175642,1.0,173,0.13517798814913684,0.059524204670916146,1.622563673983315,1.4156959912886902,4.669999999999998,6.330000000000005,4
gti-com-hp34.hci.bri.co.id,38.65421965317919,38.27,33.21,43.41,71.06,7.486813687011992,43.341387283237,42.86,40.01,45.55,75.23,5.7776648271558315,1.0,173,0.19368684076891524,0.13330595048558677,1.8383503958320249,1.7357543151161767,10.199999999999996,5.539999999999999,1
gti-com-hp35.hci.bri.co.id,49.49549132947976,49.19,42.76,55.17,93.8,11.077677922667483,58.201502890173415,58.17,53.95,62.13,86.73,6.906090339309277,1.0,173,0.2238118589211693,0.11865828194060747,1.8951221107311698,1.4901677051821158,12.410000000000004,8.18,0
gti-com-hp36.hci.bri.co.id,33.98150289017341,34.17,28.06,38.96,79.27,7.88293233174013,63.547803468208095,63.34,59.53,66.76,98.09,6.802275681676154,1.0,173,0.23197715407754005,0.1070418694342318,2.332739674763557,1.543562399431678,10.900000000000002,7.230000000000004,4
